FID;ID;Type;Diameter;Material;LENGTH_GEO;START_X;START_Y;MID_X;MID_Y;END_X;END_Y;INSIDE_X;INSIDE_Y
114;115;Tertiary;Φ130;Asbestos Cement pipe;13,366044376700000;25,130564436099998;35,334383935200002;25,130492746100000;35,334370620500003;25,130421056100001;35,334357305899999;25,130492746100000;35,334370620500003
115;116;Tertiary;Φ130;Asbestos Cement pipe;17,708413993499999;25,130421056100001;35,334357305899999;25,130324505099999;35,334346855400000;25,130227953999999;35,334336404900000;25,130324505099999;35,334346855400000
116;117;Tertiary;Φ130;Asbestos Cement pipe;11,262081359800000;25,130227953999999;35,334336404900000;25,130166245900000;35,334340766200000;25,130104537800001;35,334345127500001;25,130166245900000;35,334340766200000
117;118;Tertiary;Φ130;Asbestos Cement pipe;5,516152611480000;25,130104537800001;35,334345127500001;25,130076379900000;35,334354378699999;25,130048221999999;35,334363629899997;25,130076379900000;35,334354378699999
118;119;Tertiary;Φ130;Asbestos Cement pipe;8,869593647300000;25,130048221999999;35,334363629899997;25,130002820400001;35,334378245800004;25,129957418800000;35,334392861700003;25,130002820400001;35,334378245800004
119;120;Tertiary;Φ130;Asbestos Cement pipe;5,458809801450000;25,129957418800000;35,334392861700003;25,129927604199999;35,334389979100003;25,129897789600001;35,334387096400000;25,129927604199999;35,334389979100003
120;121;Main;Φ200;Asbestos Cement pipe;5,954093882090000;25,134014281399999;35,334381207699998;25,133983860600001;35,334371278100001;25,133953439900001;35,334361348400002;25,133983860600001;35,334371278100001
121;122;Main;Φ200;Asbestos Cement pipe;5,942581990450000;25,133953439900001;35,334361348400002;25,133925224700000;35,334347833400003;25,133897009500000;35,334334318300002;25,133925224700000;35,334347833400003
122;123;Main;Φ200;Asbestos Cement pipe;6,687831893980000;25,133897009500000;35,334334318300002;25,133868714199998;35,334315062400002;25,133840418799998;35,334295806500002;25,133868714199998;35,334315062400002
123;124;Main;Φ200;Asbestos Cement pipe;14,272792997800000;25,133840418799998;35,334295806500002;25,133782683900002;35,334252227900002;25,133724949000001;35,334208649300002;25,133782683900002;35,334252227900002
124;125;Main;Φ150;Ductile iron pipe;24,598309375500001;25,134727220199998;35,334379350600003;25,134782743999999;35,334278261599998;25,134838267799999;35,334177172600000;25,134782743999999;35,334278261599998
125;126;Main;Φ150;Ductile iron pipe;57,264391917399998;25,134838267799999;35,334177172600000;25,134999399200002;35,333955437500002;25,135160530600000;35,333733702400004;25,134999399200002;35,333955437500002
126;127;Main;Φ150;Ductile iron pipe;17,437841434399999;25,135160530600000;35,333733702400004;25,135245530500001;35,333697312699996;25,135330530299999;35,333660922999997;25,135245530500001;35,333697312699996
127;128;Tertiary;Φ80;UPVC Pipe;26,244269464700000;25,133429655600001;35,334450026200003;25,133318842900000;35,334374242599999;25,133208030100000;35,334298459000003;25,133318842900000;35,334374242599999
128;129;Tertiary;Φ80;UPVC Pipe;21,624049386700001;25,133208030100000;35,334298459000003;25,133109865500000;35,334243448000002;25,133011701000001;35,334188437000002;25,133109865500000;35,334243448000002
129;130;Tertiary;Φ80;UPVC Pipe;23,366078681099999;25,133011701000001;35,334188437000002;25,132946018100000;35,334097928900000;25,132880335199999;35,334007420699997;25,132946018100000;35,334097928900000
130;131;Tertiary;Φ80;UPVC Pipe;9,639323840490000;25,132880335199999;35,334007420699997;25,132855927300000;35,333968857800002;25,132831519400000;35,333930294900000;25,132855927300000;35,333968857800002
